Study	RUN_ID	Run	RunStudy	RunSpecies	Rate	Dataset	Aligner	Species	Replicate	Version	Description	CPU	RAM	Time	IO_out	IO_in	COMMAND
SimBA	DRAGEN 4.0.3 default SimBA_human_t3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default human	T3	human T3 R1	DRAGEN	human	1	4.0.3	default	693	43.21243286	6.239166667	5.34072876	3.06917572	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_human_t3 --output-format BAM -1 SimBA_human_t3.reads_1_val_1.fq -2 SimBA_human_t3.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_human_t3 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
SimBA	DRAGEN 4.0.3 default SimBA_malaria_t1	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default malaria	T1	malaria T1 R1	DRAGEN	malaria	1	4.0.3	default	430	8.557834625	0.727	4.206939697	1.677078247	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_malaria_t1 --output-format BAM -1 SimBA_malaria_t1.reads_1_val_1.fq -2 SimBA_malaria_t1.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_malaria_t1 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
SimBA	DRAGEN 4.0.3 default SimBA_malaria_t2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default malaria	T2	malaria T2 R1	DRAGEN	malaria	1	4.0.3	default	320	8.171707153	1.127	7.772453308	0.897285461	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_malaria_t2 --output-format BAM -1 SimBA_malaria_t2.reads_1_val_1.fq -2 SimBA_malaria_t2.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_malaria_t2 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
SimBA	DRAGEN 4.0.3 default SimBA_malaria_t3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default SimBA	DRAGEN 4.0.3 default malaria	T3	malaria T3 R1	DRAGEN	malaria	1	4.0.3	default	399	8.253372192	1.011	10.8939209	1.455421448	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__SimBA_malaria_t3 --output-format BAM -1 SimBA_malaria_t3.reads_1_val_1.fq -2 SimBA_malaria_t3.reads_2_val_2.fq --enable-rna true --RGID baruzzo__default --RGSM SimBA_malaria_t3 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t1r1	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T1	human T1 R1	DRAGEN	human	1	4.0.3	default+TSJS	0	0.027957916	12.6125	0.000221252	0	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/a5/de16f87d2721e7cfa59d4a4a09f2f6:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/a5/de16f87d2721e7cfa59d4a4a09f2f6:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t1r1.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t1r1.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t1r2	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T1	human T1 R2	DRAGEN	human	2	4.0.3	default+TSJS	0	0.027385712	12.92966667	0.000221252	0.000679016	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/01/971daa260f728511927bb44133d98d:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/01/971daa260f728511927bb44133d98d:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t1r2.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t1r2.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t1r3	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T1	human T1 R3	DRAGEN	human	3	4.0.3	default+TSJS	0	0.0284729	12.701	0.000221252	0.026245117	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/e1/e25a5abdc7c1aeb76f528a3bebc940:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/e1/e25a5abdc7c1aeb76f528a3bebc940:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t1r3.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t1r3.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t2r1	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T2	human T2 R1	DRAGEN	human	1	4.0.3	default+TSJS	0	0.028491974	12.78316667	0.000221252	0.005851746	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/6a/d0274df70ddb719ce85dfa4873cc8c:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/6a/d0274df70ddb719ce85dfa4873cc8c:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t2r1.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t2r1.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t2r2	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T2	human T2 R2	DRAGEN	human	2	4.0.3	default+TSJS	0	0.028396606	12.53383333	0.000221252	0	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/5b/4c9b8b4b8392791499fc90de7371b2:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/5b/4c9b8b4b8392791499fc90de7371b2:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t2r2.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t2r2.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t2r3	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T2	human T2 R3	DRAGEN	human	3	4.0.3	default+TSJS	0	0.026668549	13.683	0.000213623	0.006752014	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/0f/91c47abf72fdc61dca586351601ea7:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/0f/91c47abf72fdc61dca586351601ea7:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t2r3.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t2r3.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
Baruzzo	DRAGEN 4.0.3 default+TSJS baruzzo_human_t3r1	DRAGEN 4.0.3 default+TSJS	DRAGEN 4.0.3 default+TSJS Baruzzo	DRAGEN 4.0.3 default+TSJS human	T3	human T3 R1	DRAGEN	human	1	4.0.3	default+TSJS	0	0.028453827	12.84066667	0.000221252	0.00062561	docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 --rm --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/1e/64fb3e11bf923e0cf045202ee572e7:/workdir --volume /data/RNAseqBenchmark/nextflow_Tuned_STAR_HISAT2_minimap2/work/1e/64fb3e11bf923e0cf045202ee572e7:/outputdir nvcr.io/nvidia/clara/clara-parabricks-deepsap:v0.0.1 --out /outputdir/ --prefix DRAGEN__4.0.3__default+TSJS__baruzzo_human_t3r1.sorted --batch 2048 --sam /workdir/DRAGEN__4.0.3__default__baruzzo_human_t3r1.sorted.bam --fasta /workdir/GRCh37.primary_assembly.genome.fa --gtf /workdir/simulator_config_geneinfo_hg19_GTF
