,Biotype,JunctionScore,Count
509,C_gene_segment,39,0
510,C_gene_segment,40,0
511,C_gene_segment,41,0
512,C_gene_segment,42,0
513,C_gene_segment,43,0
514,C_gene_segment,44,0
515,C_gene_segment,45,0
516,C_gene_segment,46,0
517,C_gene_segment,47,0
518,C_gene_segment,48,0
519,C_gene_segment,49,0
3,C_gene_segment,50,2
520,C_gene_segment,51,0
521,C_gene_segment,52,0
522,C_gene_segment,53,0
523,C_gene_segment,54,0
524,C_gene_segment,55,0
525,C_gene_segment,56,0
526,C_gene_segment,57,0
527,C_gene_segment,58,0
528,C_gene_segment,59,0
529,C_gene_segment,60,0
530,C_gene_segment,61,0
531,C_gene_segment,62,0
532,C_gene_segment,63,0
533,C_gene_segment,64,0
534,C_gene_segment,65,0
535,C_gene_segment,66,0
536,C_gene_segment,67,0
537,C_gene_segment,68,0
538,C_gene_segment,69,0
539,C_gene_segment,70,0
540,C_gene_segment,71,0
541,C_gene_segment,72,0
542,C_gene_segment,73,0
543,C_gene_segment,74,0
544,C_gene_segment,75,0
4,C_gene_segment,76,2
545,C_gene_segment,77,0
546,C_gene_segment,78,0
547,C_gene_segment,79,0
548,C_gene_segment,80,0
549,C_gene_segment,81,0
550,C_gene_segment,82,0
551,C_gene_segment,83,0
552,C_gene_segment,84,0
553,C_gene_segment,85,0
554,C_gene_segment,86,0
555,C_gene_segment,87,0
556,C_gene_segment,88,0
557,C_gene_segment,89,0
558,C_gene_segment,90,0
5,C_gene_segment,91,1
559,C_gene_segment,92,0
560,C_gene_segment,93,0
6,C_gene_segment,94,2
561,C_gene_segment,95,0
562,C_gene_segment,96,0
7,C_gene_segment,97,3
8,C_gene_segment,98,11
9,C_gene_segment,99,43
10,C_gene_segment,100,27
374,tRNA,0,33
375,tRNA,1,8
705,tRNA,2,0
706,tRNA,3,0
707,tRNA,4,0
708,tRNA,5,0
709,tRNA,6,0
710,tRNA,7,0
711,tRNA,8,0
712,tRNA,9,0
713,tRNA,10,0
714,tRNA,11,0
715,tRNA,12,0
716,tRNA,13,0
717,tRNA,14,0
718,tRNA,15,0
719,tRNA,16,0
720,tRNA,17,0
721,tRNA,18,0
376,tRNA,19,1
722,tRNA,20,0
723,tRNA,21,0
724,tRNA,22,0
725,tRNA,23,0
726,tRNA,24,0
727,tRNA,25,0
728,tRNA,26,0
729,tRNA,27,0
730,tRNA,28,0
731,tRNA,29,0
732,tRNA,30,0
733,tRNA,31,0
734,tRNA,32,0
735,tRNA,33,0
736,tRNA,34,0
737,tRNA,35,0
738,tRNA,36,0
739,tRNA,37,0
740,tRNA,38,0
741,tRNA,39,0
742,tRNA,40,0
743,tRNA,41,0
744,tRNA,42,0
745,tRNA,43,0
746,tRNA,44,0
747,tRNA,45,0
748,tRNA,46,0
749,tRNA,47,0
750,tRNA,48,0
751,tRNA,49,0
377,tRNA,50,1
752,tRNA,51,0
753,tRNA,52,0
754,tRNA,53,0
755,tRNA,54,0
756,tRNA,55,0
757,tRNA,56,0
758,tRNA,57,0
759,tRNA,58,0
760,tRNA,59,0
761,tRNA,60,0
762,tRNA,61,0
763,tRNA,62,0
764,tRNA,63,0
765,tRNA,64,0
766,tRNA,65,0
767,tRNA,66,0
768,tRNA,67,0
769,tRNA,68,0
770,tRNA,69,0
771,tRNA,70,0
772,tRNA,71,0
773,tRNA,72,0
774,tRNA,73,0
775,tRNA,74,0
776,tRNA,75,0
777,tRNA,76,0
778,tRNA,77,0
779,tRNA,78,0
780,tRNA,79,0
781,tRNA,80,0
782,tRNA,81,0
783,tRNA,82,0
784,tRNA,83,0
785,tRNA,84,0
786,tRNA,85,0
787,tRNA,86,0
788,tRNA,87,0
789,tRNA,88,0
790,tRNA,89,0
791,tRNA,90,0
792,tRNA,91,0
793,tRNA,92,0
794,tRNA,93,0
795,tRNA,94,0
796,tRNA,95,0
797,tRNA,96,0
798,tRNA,97,0
799,tRNA,98,0
800,tRNA,99,0
801,tRNA,100,0
612,antisense_RNA,0,0
164,antisense_RNA,1,2
613,antisense_RNA,2,0
614,antisense_RNA,3,0
615,antisense_RNA,4,0
616,antisense_RNA,5,0
617,antisense_RNA,6,0
618,antisense_RNA,7,0
619,antisense_RNA,8,0
620,antisense_RNA,9,0
621,antisense_RNA,10,0
622,antisense_RNA,11,0
623,antisense_RNA,12,0
624,antisense_RNA,13,0
625,antisense_RNA,14,0
626,antisense_RNA,15,0
627,antisense_RNA,16,0
628,antisense_RNA,17,0
629,antisense_RNA,18,0
630,antisense_RNA,19,0
631,antisense_RNA,20,0
632,antisense_RNA,21,0
633,antisense_RNA,22,0
634,antisense_RNA,23,0
635,antisense_RNA,24,0
636,antisense_RNA,25,0
637,antisense_RNA,26,0
638,antisense_RNA,27,0
639,antisense_RNA,28,0
640,antisense_RNA,29,0
641,antisense_RNA,30,0
642,antisense_RNA,31,0
643,antisense_RNA,32,0
644,antisense_RNA,33,0
645,antisense_RNA,34,0
646,antisense_RNA,35,0
647,antisense_RNA,36,0
648,antisense_RNA,37,0
649,antisense_RNA,38,0
650,antisense_RNA,39,0
651,antisense_RNA,40,0
652,antisense_RNA,41,0
653,antisense_RNA,42,0
654,antisense_RNA,43,0
655,antisense_RNA,44,0
656,antisense_RNA,45,0
657,antisense_RNA,46,0
658,antisense_RNA,47,0
659,antisense_RNA,48,0
660,antisense_RNA,49,0
661,antisense_RNA,50,0
165,antisense_RNA,51,1
662,antisense_RNA,52,0
663,antisense_RNA,53,0
664,antisense_RNA,54,0
166,antisense_RNA,55,1
665,antisense_RNA,56,0
666,antisense_RNA,57,0
667,antisense_RNA,58,0
668,antisense_RNA,59,0
669,antisense_RNA,60,0
167,antisense_RNA,61,1
670,antisense_RNA,62,0
671,antisense_RNA,63,0
672,antisense_RNA,64,0
673,antisense_RNA,65,0
674,antisense_RNA,66,0
675,antisense_RNA,67,0
676,antisense_RNA,68,0
677,antisense_RNA,69,0
678,antisense_RNA,70,0
679,antisense_RNA,71,0
680,antisense_RNA,72,0
168,antisense_RNA,73,1
681,antisense_RNA,74,0
682,antisense_RNA,75,0
683,antisense_RNA,76,0
684,antisense_RNA,77,0
685,antisense_RNA,78,0
686,antisense_RNA,79,0
687,antisense_RNA,80,0
688,antisense_RNA,81,0
689,antisense_RNA,82,0
690,antisense_RNA,83,0
691,antisense_RNA,84,0
692,antisense_RNA,85,0
693,antisense_RNA,86,0
694,antisense_RNA,87,0
695,antisense_RNA,88,0
696,antisense_RNA,89,0
697,antisense_RNA,90,0
698,antisense_RNA,91,0
699,antisense_RNA,92,0
700,antisense_RNA,93,0
169,antisense_RNA,94,1
170,antisense_RNA,95,3
701,antisense_RNA,96,0
171,antisense_RNA,97,1
172,antisense_RNA,98,3
173,antisense_RNA,99,16
174,antisense_RNA,100,8
