,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
75,novoSplice 0.8.4 default,human T2 R2,99.89,95.37,99.81,95.01,99.9701,89.0801,99.9601,90.35,95.8301,75.2701,95.99,73.91
76,novoSplice 0.8.4 default,human T2 R3,99.89,95.36,99.81,95.01,99.9701,89.0901,99.9701,90.2901,95.91,75.2,96.1501,74.0601
77,novoSplice 0.8.4 default,human T3 R2,99.77,88.93,99.21,84.1,99.91,74.59,99.6501,75.75,76.9001,48.9301,78.6101,46.43
78,novoSplice 0.8.4 default,human T3 R3,99.77,88.91,99.21,84.08,99.91,74.53,99.6801,75.5601,77.16,48.97,78.65,46.55
79,novoSplice 0.8.4 default,malaria T1 R2,99.99,97.22,99.95,96.92,100,93.3201,100,93.0301,96.98,83.7,97.9401,82.49
80,novoSplice 0.8.4 default,malaria T1 R3,99.99,97.22,99.95,96.91,99.9901,93.36,99.9901,93.08,96.8301,83.35,97.7,81.5101
81,novoSplice 0.8.4 default,malaria T2 R2,99.99,96.75,99.75,96.07,99.9901,92.8001,99.9901,92.4101,94.18,80.08,95.8,79.3901
82,novoSplice 0.8.4 default,malaria T2 R3,99.99,96.81,99.75,96.13,99.9801,92.88,99.9901,92.64,93.97,79.94,95.36,78.9901
83,novoSplice 0.8.4 default,malaria T3 R2,99.98,84.95,98.6,79.29,99.93,78.26,99.9,77.8001,74.0701,48.68,78.6,48.1
84,novoSplice 0.8.4 default,malaria T3 R3,99.98,84.86,98.62,79.23,99.93,77.62,99.9,77.67,74.4901,48.83,79.35,48.7401
311,novoSplice 0.8.4 default,human T1 R1,99.91,96.1,99.89,95.92,99.9901,90.0101,99.9801,91.15,97.9601,78.4001,97.82,76.7801
312,novoSplice 0.8.4 default,human T2 R1,99.89,95.38,99.81,95.02,99.9701,89.12,99.9601,90.32,95.71,74.94,96.0401,74.04
313,novoSplice 0.8.4 default,human T3 R1,99.77,88.92,99.21,84.1,99.91,74.59,99.71,75.8801,76.9701,48.86,78.62,46.59
314,novoSplice 0.8.4 default,malaria T1 R1,99.99,97.23,99.95,96.91,100,93.3201,100,93.0201,96.6401,82.3301,97.9501,82.2201
315,novoSplice 0.8.4 default,malaria T2 R1,99.99,96.77,99.73,96.07,99.9801,92.88,99.9901,92.59,93.6101,79.62,95.19,78.23
316,novoSplice 0.8.4 default,malaria T3 R1,99.98,84.9,98.58,79.22,99.9601,77.85,99.8701,77.4901,73.91,48.5901,79.3101,48.68
