,Biotype,JunctionScore,Count
144,V_gene_segment,64,3
145,V_gene_segment,65,4
146,V_gene_segment,66,3
618,V_gene_segment,67,0
147,V_gene_segment,68,1
148,V_gene_segment,69,5
149,V_gene_segment,70,2
150,V_gene_segment,71,2
619,V_gene_segment,72,0
151,V_gene_segment,73,3
152,V_gene_segment,74,3
153,V_gene_segment,75,3
154,V_gene_segment,76,1
155,V_gene_segment,77,1
620,V_gene_segment,78,0
156,V_gene_segment,79,1
157,V_gene_segment,80,1
158,V_gene_segment,81,4
159,V_gene_segment,82,4
160,V_gene_segment,83,6
621,V_gene_segment,84,0
161,V_gene_segment,85,4
162,V_gene_segment,86,2
163,V_gene_segment,87,1
164,V_gene_segment,88,1
165,V_gene_segment,89,9
622,V_gene_segment,90,0
166,V_gene_segment,91,7
623,V_gene_segment,92,0
167,V_gene_segment,93,5
168,V_gene_segment,94,7
169,V_gene_segment,95,6
170,V_gene_segment,96,9
171,V_gene_segment,97,6
172,V_gene_segment,98,12
173,V_gene_segment,99,123
174,V_gene_segment,100,198
496,C_gene_segment,0,0
497,C_gene_segment,1,0
498,C_gene_segment,2,0
499,C_gene_segment,3,0
500,C_gene_segment,4,0
501,C_gene_segment,5,0
502,C_gene_segment,6,0
503,C_gene_segment,7,0
504,C_gene_segment,8,0
505,C_gene_segment,9,0
0,C_gene_segment,10,2
506,C_gene_segment,11,0
507,C_gene_segment,12,0
508,C_gene_segment,13,0
509,C_gene_segment,14,0
510,C_gene_segment,15,0
511,C_gene_segment,16,0
512,C_gene_segment,17,0
513,C_gene_segment,18,0
514,C_gene_segment,19,0
515,C_gene_segment,20,0
516,C_gene_segment,21,0
517,C_gene_segment,22,0
518,C_gene_segment,23,0
519,C_gene_segment,24,0
520,C_gene_segment,25,0
521,C_gene_segment,26,0
522,C_gene_segment,27,0
523,C_gene_segment,28,0
524,C_gene_segment,29,0
525,C_gene_segment,30,0
526,C_gene_segment,31,0
527,C_gene_segment,32,0
528,C_gene_segment,33,0
529,C_gene_segment,34,0
530,C_gene_segment,35,0
531,C_gene_segment,36,0
532,C_gene_segment,37,0
533,C_gene_segment,38,0
534,C_gene_segment,39,0
535,C_gene_segment,40,0
1,C_gene_segment,41,2
536,C_gene_segment,42,0
537,C_gene_segment,43,0
538,C_gene_segment,44,0
539,C_gene_segment,45,0
540,C_gene_segment,46,0
541,C_gene_segment,47,0
542,C_gene_segment,48,0
543,C_gene_segment,49,0
2,C_gene_segment,50,2
3,C_gene_segment,51,1
4,C_gene_segment,52,1
544,C_gene_segment,53,0
545,C_gene_segment,54,0
5,C_gene_segment,55,2
546,C_gene_segment,56,0
547,C_gene_segment,57,0
548,C_gene_segment,58,0
549,C_gene_segment,59,0
550,C_gene_segment,60,0
6,C_gene_segment,61,2
551,C_gene_segment,62,0
552,C_gene_segment,63,0
553,C_gene_segment,64,0
554,C_gene_segment,65,0
555,C_gene_segment,66,0
556,C_gene_segment,67,0
7,C_gene_segment,68,1
557,C_gene_segment,69,0
558,C_gene_segment,70,0
559,C_gene_segment,71,0
8,C_gene_segment,72,2
560,C_gene_segment,73,0
561,C_gene_segment,74,0
562,C_gene_segment,75,0
563,C_gene_segment,76,0
564,C_gene_segment,77,0
565,C_gene_segment,78,0
566,C_gene_segment,79,0
567,C_gene_segment,80,0
568,C_gene_segment,81,0
9,C_gene_segment,82,1
569,C_gene_segment,83,0
570,C_gene_segment,84,0
571,C_gene_segment,85,0
572,C_gene_segment,86,0
573,C_gene_segment,87,0
574,C_gene_segment,88,0
575,C_gene_segment,89,0
576,C_gene_segment,90,0
577,C_gene_segment,91,0
578,C_gene_segment,92,0
579,C_gene_segment,93,0
580,C_gene_segment,94,0
581,C_gene_segment,95,0
582,C_gene_segment,96,0
10,C_gene_segment,97,2
11,C_gene_segment,98,3
12,C_gene_segment,99,15
13,C_gene_segment,100,61
387,tRNA,0,28
388,tRNA,1,2
715,tRNA,2,0
389,tRNA,3,2
716,tRNA,4,0
717,tRNA,5,0
718,tRNA,6,0
719,tRNA,7,0
720,tRNA,8,0
721,tRNA,9,0
390,tRNA,10,2
722,tRNA,11,0
723,tRNA,12,0
724,tRNA,13,0
725,tRNA,14,0
726,tRNA,15,0
727,tRNA,16,0
728,tRNA,17,0
729,tRNA,18,0
730,tRNA,19,0
731,tRNA,20,0
732,tRNA,21,0
733,tRNA,22,0
734,tRNA,23,0
735,tRNA,24,0
736,tRNA,25,0
737,tRNA,26,0
738,tRNA,27,0
739,tRNA,28,0
740,tRNA,29,0
741,tRNA,30,0
742,tRNA,31,0
743,tRNA,32,0
744,tRNA,33,0
745,tRNA,34,0
391,tRNA,35,6
746,tRNA,36,0
747,tRNA,37,0
748,tRNA,38,0
749,tRNA,39,0
750,tRNA,40,0
751,tRNA,41,0
752,tRNA,42,0
753,tRNA,43,0
754,tRNA,44,0
755,tRNA,45,0
392,tRNA,46,1
756,tRNA,47,0
757,tRNA,48,0
393,tRNA,49,1
394,tRNA,50,1
758,tRNA,51,0
759,tRNA,52,0
760,tRNA,53,0
761,tRNA,54,0
762,tRNA,55,0
763,tRNA,56,0
764,tRNA,57,0
765,tRNA,58,0
766,tRNA,59,0
767,tRNA,60,0
768,tRNA,61,0
769,tRNA,62,0
770,tRNA,63,0
771,tRNA,64,0
772,tRNA,65,0
773,tRNA,66,0
774,tRNA,67,0
775,tRNA,68,0
776,tRNA,69,0
777,tRNA,70,0
778,tRNA,71,0
779,tRNA,72,0
780,tRNA,73,0
781,tRNA,74,0
782,tRNA,75,0
783,tRNA,76,0
784,tRNA,77,0
785,tRNA,78,0
786,tRNA,79,0
787,tRNA,80,0
788,tRNA,81,0
789,tRNA,82,0
790,tRNA,83,0
791,tRNA,84,0
792,tRNA,85,0
793,tRNA,86,0
794,tRNA,87,0
795,tRNA,88,0
796,tRNA,89,0
797,tRNA,90,0
798,tRNA,91,0
799,tRNA,92,0
800,tRNA,93,0
801,tRNA,94,0
802,tRNA,95,0
803,tRNA,96,0
804,tRNA,97,0
805,tRNA,98,0
806,tRNA,99,0
807,tRNA,100,0
175,antisense_RNA,0,2
624,antisense_RNA,1,0
625,antisense_RNA,2,0
626,antisense_RNA,3,0
627,antisense_RNA,4,0
628,antisense_RNA,5,0
629,antisense_RNA,6,0
630,antisense_RNA,7,0
631,antisense_RNA,8,0
632,antisense_RNA,9,0
633,antisense_RNA,10,0
634,antisense_RNA,11,0
635,antisense_RNA,12,0
636,antisense_RNA,13,0
637,antisense_RNA,14,0
638,antisense_RNA,15,0
639,antisense_RNA,16,0
640,antisense_RNA,17,0
641,antisense_RNA,18,0
642,antisense_RNA,19,0
643,antisense_RNA,20,0
644,antisense_RNA,21,0
645,antisense_RNA,22,0
646,antisense_RNA,23,0
647,antisense_RNA,24,0
648,antisense_RNA,25,0
649,antisense_RNA,26,0
650,antisense_RNA,27,0
651,antisense_RNA,28,0
652,antisense_RNA,29,0
653,antisense_RNA,30,0
654,antisense_RNA,31,0
655,antisense_RNA,32,0
656,antisense_RNA,33,0
657,antisense_RNA,34,0
658,antisense_RNA,35,0
659,antisense_RNA,36,0
660,antisense_RNA,37,0
661,antisense_RNA,38,0
662,antisense_RNA,39,0
663,antisense_RNA,40,0
664,antisense_RNA,41,0
665,antisense_RNA,42,0
666,antisense_RNA,43,0
667,antisense_RNA,44,0
668,antisense_RNA,45,0
669,antisense_RNA,46,0
670,antisense_RNA,47,0
671,antisense_RNA,48,0
672,antisense_RNA,49,0
